SCHOOL_TYPE,ADDRESS,CITY,ZIP
MS,4101 FAIRFAX PKWY,ALEXANDRIA,22312
MS,7000 CINDY LN,ANNANDALE,22003
MS,6525 MONTROSE ST,ALEXANDRIA,22312
MS,4700 FRANCONIA RD,ALEXANDRIA,22310
MS,6402 FRANCONIA RD,SPRINGFIELD,22150
MS,2500 PARKERS LN,ALEXANDRIA,22306
MS,7630 TELEGRAPH RD,ALEXANDRIA,22315
MS,8428 FORT HUNT RD,ALEXANDRIA,22308
MS,5035 SIDEBURN RD,FAIRFAX,22032
MS,9200 BURKE LAKE RD,BURKE,22015
MS,6801 UNION MILL RD,CLIFTON,20124
MS,8100 OLD KEENE MILL RD,SPRINGFIELD,22152
MS,8700 LAUREL CREST DR,LORTON,22079
MS,13618 MCLEAREN RD,HERNDON,20171
MS,3300 LEES CORNER RD,CHANTILLY,20151
MS,4400 STRINGFELLOW RD,CHANTILLY,20151
MS,3801 JERMANTOWN RD,FAIRFAX,22030
MS,5500 SULLY PARK DR,CENTREVILLE,20120
MS,4101 PICKETT RD,FAIRFAX,22032
HS,700 BENNETT ST,BENNETT ST,20170
HS,6520 GEORGETOWN PIKE,MCLEAN,22101
HS,11400 SOUTH LAKES DR,RESTON,20191
HS,2500 JAMES MADISON DR,VIENNA,22181
HS,2900 SUTTON RD,VIENNA,22181
HS,1663 DAVIDSON RD,MCLEAN,22101
HS,7731 LEESBURG PIKE,FALLS CHURCH,22043
HS,7521 JAGUAR TRL,FALLS CHURCH,22042
HS,3301 PEACE VALLEY LN,FALLS CHURCH,22044
HS,4700 MEDFORD DR,ANNANDALE,22003
HS,6560 BRADDOCK RD,ALEXANDRIA,22312
HS,5801 FRANCONIA RD,ALEXANDRIA,22310
HS,6540 FRANCONIA RD,SPRINGFIELD,22150
HS,6500 QUANDER RD,ALEXANDRIA,22307
HS,7630 TELEGRAPH RD,ALEXANDRIA,22315
HS,8515 OLD MOUNT VERNON RD,ALEXANDRIA,22309
HS,5035 SIDEBURN RD,FAIRFAX,22032
HS,9200 BURKE LAKE RD,BURKE,22015
HS,6100 ROLLING RD,SPRINGFIELD,22152
HS,6001 UNION MILL RD,CLIFTON,20124
HS,8501 SILVERBROOK RD,LORTON,22079
HS,4201 STRINGFELLOW RD,CHANTILLY,20151
HS,4700 STONECROFT BLVD,CHANTILLY,20151
HS,3501 LION RUN,FAIRFAX,22030
HS,9525 MAIN ST,FAIRFAX,22031
HS,"5775 SPINDLE CT
",CENTREVILLE,20121
HS,"2709 POPKINS LN
",ALEXANDRIA,22306
Site, ,FAIRFAX,22031
AC,3036 GRAHAM RD,FALLS CHURCH,22042
Site,7010 CLIFTON RD,CLIFTON,20124
AC,2334 GALLOWS RD,DUNN LORING,22027
AC,7423 CAMP ALGER AVE,FALLS CHURCH,22042
AC,4414 HOLBORN AVE,ANNANDALE,22003
AC,6815 EDSALL RD,SPRINGFIELD,22151
AC,5025 SIDEBURN RD,FAIRFAX,22032
AC,3701 FRANCONIA RD,ALEXANDRIA,22310
AC,6520 DIANA LN,ALEXANDRIA,22310
AC,7510 LISLE AVE,FALLS CHURCH,22043
AC,8101 LORTON RD,LORTON,22079
AC,8115 GATEHOUSE RD,FALLS CHURCH,22042
AC,8270 WILLOW OAKS CORPORATE DR,FAIRVAX,22031
AC,6800B INDUSTRIAL RD,SPRINGFIELD,22151
AC,4641 STONECROFT BLVD,CHANTILLY,20151
Site, ,VIENNA,22180
AC,6700 INDUSTRIAL RD,SPRINGFIELD,22151
AC,397 HERNDON PKWY,HERNDON,20170
AC,8435 ROUTE 29,MERRIFIELD,22031
AC,5805 FRANCONIA RD,ALEXANDRIA,22310
AC,9515 MAIN ST,FAIRFAX,22031
AC,6732 INDUSTRIAL RD,SPRINGFIELD,22151
AC,6840 INDUSTRIAL RD,SPRINGFIELD,22151
AC,3110 FAIRVIEW PARK DR,FALLS CHURCH,22042
ALTCT,13525 LELAND RD,CENTREVILLE,20120
ALTCT,12720 ROUTE 29,FAIRFAX,22030
ALTCT,465 SPRINGFIELD PL,HERNDON,20170
ALTCT,5035 SIDEBURN RD,FAIRFAX,22032
ALTCT,10650 PAGE AVE,FAIRFAX,22030
ALTCT,10650 PAGE AVE,FAIRFAX,22030
OTH,10520 JUDICIAL DR,FAIRFAX,22030
ALTCT,5801 FRANCONIA RD,ALEXANDRIA,22310
ALTCT,8501 SILVERBROOK RD,LORTON,22079
ALTCT,4700 STONECROFT BLVD,CHANTILLY,20151
OTH,3301 PEACE VALLEY LN,FALLS CHURCH,22044
ALTCT,11400 SOUTH LAKES DR,RESTON,20191
PSRES,15301 ROUTE 29,CENTREVILLE,20121
ALTCT,465 SPRINGFIELD PL,HERNDON,20170
AC,619 SOUTH PICKETT ST,ALEXANDRIA,22304
ALTCT,9525 MAIN ST,FAIRFAX,22031
ALTCT,3036 GRAHAM RD,FALLS CHURCH,22042
OTH,6815 EDSALL RD,SPRINGFIELD,22151
ALTCT,4700 STONECROFT BLVD,CHANTILLY,20151
ALTCT,6400 QUANDER RD,ALEXANDRIA,22307
ALTCT,7731 LEESBURG PIKE,FALLS CHURCH,22043
ALTCT,101 CEDAR LN SW,VIENNA,22180
OTH,465 SPRINGFIELD PL,HERNDON,20170
ALTCT,3036 GRAHAM RD,FALLS CHURCH,22042
ALTCT,2709 POPKINS LN,ALEXANDRIA,22306
ALTCT,2709 POPKINS LN,ALEXANDRIA,22306
ALTCT,2709 POPKINS LN,ALEXANDRIA,22306
OTH,2709 POPKINS LN,ALEXANDRIA,22306
